module,file,blueprint,methods,route,function,action,has_jwt_required,decorators,initial_risk,notes,review_status,expected_guard,expected_scope,review_notes
Usuarios / Admin,backend/app/routes/admin_usuarios_routes.py,admin_usuarios_bp,PUT,/<int:user_id>/sucursales,put_sucursales_usuario_admin,update,True,"route,jwt_required",medium_write,,ok_hardened,_get_current_user_admin,user_admin,Admin DB-backed; valida payload list/int y reemplaza sucursales asignadas en transacción. Futuro: validar existencia de sucursales.
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,POST,/<string:catalogo>,crear_catalogo,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,PUT,/<string:catalogo>/<int:elemento_id>,editar_catalogo,update,True,"route,jwt_required",medium_write,,pending,,,
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,DELETE,/<string:catalogo>/<int:elemento_id>,eliminar_catalogo,delete,True,"route,jwt_required",high_delete,,ok_hardened,_validar_admin_catalogos,admin_catalog_global,Soft delete cuando existe activo; hard delete requiere ALLOW_CATALOG_HARD_DELETE=true; clasificaciones bloquean borrado físico.
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,POST,/clasificaciones/<int:elemento_id>/desactivar,desactivar_clasificacion,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,POST,/clasificaciones/<int:elemento_id>/reactivar,reactivar_clasificacion,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,POST,/<string:catalogo>/importar,importar_catalogo,import,True,"route,jwt_required",high_job_or_import,,ok_hardened,_validar_admin_catalogos,admin_catalog_global,Import masivo protegido por admin; clasificaciones jerárquicas bloqueadas hasta tener validador dedicado.
Nube Corporativa,backend/app/routes/internal_documents_routes.py,internal_documents_bp,POST,,create_internal_document,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Nube Corporativa,backend/app/routes/internal_documents_routes.py,internal_documents_bp,PATCH,/<int:document_id>,update_internal_document_metadata,update,True,"route,jwt_required",medium_write,,pending,,,
Nube Corporativa,backend/app/routes/internal_documents_routes.py,internal_documents_bp,POST,/<int:document_id>/publish,publish_internal_document,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Nube Corporativa,backend/app/routes/internal_documents_routes.py,internal_documents_bp,POST,/<int:document_id>/archive,archive_internal_document,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Nube Corporativa,backend/app/routes/internal_documents_routes.py,internal_documents_bp,POST,/<int:document_id>/versions,replace_internal_document_version,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Nube Corporativa,backend/app/routes/internal_documents_routes.py,internal_documents_bp,POST,/<int:document_id>/links,create_internal_document_link,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Nube Corporativa,backend/app/routes/internal_documents_routes.py,internal_documents_bp,PATCH,/<int:document_id>/links/<int:link_id>,update_internal_document_link,update,True,"route,jwt_required",medium_write,,pending,,,
Nube Corporativa,backend/app/routes/internal_documents_routes.py,internal_documents_bp,DELETE,/<int:document_id>/links/<int:link_id>,deactivate_internal_document_link,delete,True,"route,jwt_required",medium_write,,pending,,,
Nube Corporativa,backend/app/routes/internal_documents_routes.py,internal_documents_bp,POST,/<int:document_id>/external-resources,create_internal_document_external_resource,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Nube Corporativa,backend/app/routes/internal_documents_routes.py,internal_documents_bp,PUT,/<int:document_id>/visibility,update_internal_document_visibility,update,True,"route,jwt_required",medium_write,,pending,,,
Inventario,backend/app/routes/inventarios.py,inventario_bp,POST,/,crear_inventario,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Inventario,backend/app/routes/inventarios.py,inventario_bp,POST,/movimientos,registrar_movimiento,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Inventario,backend/app/routes/inventarios.py,inventario_bp,PUT,/<int:inventario_id>,editar_inventario,update,True,"route,jwt_required",medium_write,,pending,,,
Inventario,backend/app/routes/inventarios.py,inventario_bp,DELETE,/<int:inventario_id>,eliminar_inventario,delete,True,"route,jwt_required",high_delete,,needs_manual_decision,_require_inventory_global_write,inventory_global_write,Guard correcto. Hard delete permitido si no hay movimientos; evaluar soft delete/env gate/auditoría futura.
Inventario,backend/app/routes/inventarios.py,inventario_bp,DELETE,/movimientos/<int:id>,eliminar_movimiento,delete,True,"route,jwt_required",high_delete,,needs_manual_decision,_require_inventory_movement_write,inventory_movement_branch_scope,Guard correcto. Revierte stock y borra histórico; evaluar cancelación/reverso auditado.
Inventario,backend/app/routes/inventarios.py,inventario_bp,POST,/importar,importar_inventario,import,True,"route,jwt_required",high_job_or_import,,needs_manual_decision,_require_inventory_global_write,inventory_global_write,"Guard correcto. Import masivo directo a InventarioGeneral; evaluar deduplicación, validación fuerte, auditoría/import batch y rollback controlado."
Aperturas,backend/app/routes/openings_routes.py,openings_bp,POST,,create_opening,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Aperturas,backend/app/routes/openings_routes.py,openings_bp,PATCH,/<int:opening_id>,update_opening,update,True,"route,jwt_required",medium_write,,pending,,,
Aperturas,backend/app/routes/openings_routes.py,openings_bp,POST,/<int:opening_id>/phases,create_opening_phase,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Aperturas,backend/app/routes/openings_routes.py,openings_bp,PATCH,/<int:opening_id>/phases/<int:phase_id>,update_opening_phase,update,True,"route,jwt_required",medium_write,,pending,,,
Aperturas,backend/app/routes/openings_routes.py,openings_bp,POST,/<int:opening_id>/tasks,create_opening_task,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Aperturas,backend/app/routes/openings_routes.py,openings_bp,PATCH,/<int:opening_id>/tasks/<int:task_id>,update_opening_task,update,True,"route,jwt_required",medium_write,,pending,,,
Aperturas,backend/app/routes/openings_routes.py,openings_bp,POST,/<int:opening_id>/tasks/<int:task_id>/dependencies,create_task_dependency,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Aperturas,backend/app/routes/openings_routes.py,openings_bp,DELETE,/<int:opening_id>/task-dependencies/<int:dependency_id>,delete_task_dependency,delete,True,"route,jwt_required",high_delete,,ok_hardened,_require_openings_admin,openings_admin,Valida apertura/dependencia y registra auditoría TASK_DEPENDENCY_DELETED.
Aperturas,backend/app/routes/openings_routes.py,openings_bp,POST,/<int:opening_id>/tasks/<int:task_id>/blockers,create_task_blocker,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Aperturas,backend/app/routes/openings_routes.py,openings_bp,PATCH,/<int:opening_id>/task-blockers/<int:blocker_id>/resolve,resolve_task_blocker,update,True,"route,jwt_required",medium_write,,pending,,,
Nube Corporativa,backend/app/routes/openings_routes.py,openings_bp,POST,/<int:opening_id>/tasks/<int:task_id>/documents/upload,upload_task_document,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Aperturas,backend/app/routes/openings_routes.py,openings_bp,POST,/<int:opening_id>/tasks/<int:task_id>/comments,create_task_comment,create/execute,True,"route,jwt_required",medium_write,,pending,,,
General / Otro,backend/app/routes/permisos_routes.py,permisos_bp,POST,/asignar,asignar_permiso,create/execute,True,"route,jwt_required",medium_write,,ok_hardened,_require_permisos_admin,legacy_permissions_admin,Asignación de permiso legacy protegida por admin DB-backed.
General / Otro,backend/app/routes/permisos_routes.py,permisos_bp,DELETE,/eliminar,eliminar_permiso,delete,True,"route,jwt_required",high_delete,,ok_hardened,_require_permisos_admin,legacy_permissions_admin,Borrado de permiso legacy protegido por admin DB-backed.
Planning / Metas,backend/app/routes/planning_targets_routes.py,planning_targets_bp,POST,/model-configs,create_model_config_route,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Planning / Metas,backend/app/routes/planning_targets_routes.py,planning_targets_bp,POST,/batches/<int:batch_id>/approve,approve_target_batch_route,create/execute,True,"route,jwt_required",medium_write,,pending,,,
Planning / Metas,backend/app/routes/planning_targets_routes.py,planning_targets_bp,POST,/batches/<int:batch_id>/reject,reject_target_batch_route,create/execute,True,"route,jwt_required",medium_write,,pending,,,
